id;date;description;amount
1;2019-06-23T03:18:39;National Awesome sky blue;4522
2;2019-06-22T18:35:32;navigating;74732
3;2019-06-23T11:08:52;generating compelling;28093
4;2019-06-23T03:05:30;bifurcated scalable;16526
5;2019-06-23T15:52:16;Administrator;77224
6;2019-06-23T08:10:59;24 hour;1407
7;2019-06-22T22:05:22;monitor;72900
8;2019-06-22T22:41:46;Checking Account Identity deposit;91495
9;2019-06-22T20:56:46;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-06-23T01:40:42;New York tangible Mississippi;38292
