id;name;balance
1;impressionable psst until;10437.74
2;phew clearly;32018.7
3;uh-huh;8925.52
4;log animated sprinkles;7568.35
5;versus yahoo pleasing;6685.79
6;on yet fiercely;24753.57
7;past;32148.64
8;majestically since hungrily;26650.13
9;with noisily though;6064.71
10;likely;3223.96
11;tidy curiously than;30240.58
12;knottily cleaner triumphantly;21798.51
13;shout ugh delightfully;4707
14;via hotfoot finally;15621.03
15;psst;22803.62
16;mmm;15671.77
17;jeopardise partial;827.71
18;closely anenst;27821.47
19;blond granny;7519.14
20;out gloom pish;17504
21;huzzah vivacious;15737.72
22;because;17145.85
23;iridescence fooey;5097.86
24;aboard captain;6654.26
25;aware tomb;16635.57
26;fly gadzooks amongst;9351.97
27;pointless so;23529.47
28;why reproachfully;14601.3
29;oh endow;22878.74
30;knitting remark for;16559.1
