id;label
1;sophisticated
2;tut joshingly handle
3;plus outlying
4;lest wrongly vaguely
5;institutionalize during
6;proofread heavily
7;swelter softly segregate
8;besides righteously
9;yippee when joshingly
10;presell seemingly
11;once obnoxiously restfully
12;tag
13;wearily consequently inasmuch
14;ha accompany next
15;zowie although
16;outfox
17;consequently
18;if scarcely anenst
19;aw perp
20;insistent inasmuch boohoo
21;ownership
22;scarcely
23;tinderbox
24;lucky requite
25;insignificant kissingly
26;voluntarily
27;license
28;wherever
29;upside-down hence
30;phooey athwart incidentally
