id;date;description;amount
1;2019-09-13T01:54:45;National Awesome sky blue;4522
2;2019-09-12T17:11:39;navigating;74732
3;2019-09-13T09:44:59;generating compelling;28093
4;2019-09-13T01:41:36;bifurcated scalable;16526
5;2019-09-13T14:28:22;Administrator;77224
6;2019-09-13T06:47:06;24 hour;1407
7;2019-09-12T20:41:28;monitor;72900
8;2019-09-12T21:17:53;Checking Account Identity deposit;91495
9;2019-09-12T19:32:52;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-09-13T00:16:48;New York tangible Mississippi;38292
